anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2024;1408285-0;1408285;0;SOFFIANHUM;Privada;A2;Inicial - Jardín;Inicial;44;22;22;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2024;1409028-0;1409028;0;30308;Pública de gestión directa;A2;Inicial - Jardín;Inicial;16;4;12;0;0;JUNIN;CONCEPCION;CHAMBARA;UGEL CHUPACA;Rural
2024;1410943-0;1410943;0;LA CATOLICA;Privada;A2;Inicial - Jardín;Inicial;30;19;11;0;0;JUNIN;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Urbana
2024;1410950-0;1410950;0;LA CATOLICA;Privada;B0;Primaria;Primaria;49;23;26;0;4;JUNIN;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Urbana
2024;1412048-0;1412048;0;30420-1;Pública de gestión directa;B0;Primaria;Primaria;6;1;5;0;0;JUNIN;CONCEPCION;MARISCAL CASTILLA;UGEL CONCEPCIÓN;Rural
2024;1412055-0;1412055;0;SAGRADA FAMILIA;Pública de gestión directa;B0;Primaria;Primaria;62;36;26;0;3;JUNIN;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Urbana
2024;1412659-0;1412659;0;30316 PEDRO PABLO GARCIA TAPIA;Pública de gestión directa;A2;Inicial - Jardín;Inicial;37;14;23;0;0;JUNIN;CONCEPCION;MATAHUASI;UGEL CONCEPCIÓN;Urbana
2024;1412931-0;1412931;0;JAIME CERRON PALOMINO;Pública de gestión directa;F0;Secundaria;Secundaria;111;52;59;18;29;JUNIN;SATIPO;RIO TAMBO;UGEL RIO ENE-MANTARO;Rural
2024;1412949-0;1412949;0;POTSOTENI;Pública de gestión directa;F0;Secundaria;Secundaria;136;71;65;0;40;JUNIN;SATIPO;MAZAMARI;UGEL RIO TAMBO;Rural
2024;1413640-0;1413640;0;VIRTUS;Privada;A2;Inicial - Jardín;Inicial;53;27;26;0;0;JUNIN;HUANCAYO;HUANCAN;UGEL HUANCAYO;Urbana
2024;1413657-0;1413657;0;SEIS DE AGOSTO;Pública de gestión directa;A2;Inicial - Jardín;Inicial;72;39;33;0;0;JUNIN;JUNIN;JUNIN;UGEL JUNÍN;Urbana
2024;1413665-0;1413665;0;30573 MARISCAL ANDRES AVELINO CACERES;Pública de gestión directa;A3;Inicial - Cuna-Jardín;Inicial;91;39;52;0;0;JUNIN;JUNIN;CARHUAMAYO;UGEL JUNÍN;Urbana
2024;1414788-0;1414788;0;ECOLOGICA INNOVA;Privada;A2;Inicial - Jardín;Inicial;46;26;20;0;0;JUNIN;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Urbana
2024;1414796-0;1414796;0;ECOLOGICA INNOVA;Privada;B0;Primaria;Primaria;92;48;44;0;0;JUNIN;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Urbana
2024;1414804-0;1414804;0;FRIENDS GARDEN;Privada;B0;Primaria;Primaria;224;111;113;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1414820-0;1414820;0;SANTO DOMINGO;Privada;A2;Inicial - Jardín;Inicial;38;18;20;0;0;JUNIN;HUANCAYO;SICAYA;UGEL HUANCAYO;Urbana
2024;1414838-0;1414838;0;SANTO DOMINGO;Privada;B0;Primaria;Primaria;67;34;33;0;0;JUNIN;HUANCAYO;SICAYA;UGEL HUANCAYO;Urbana
2024;1414846-0;1414846;0;SHEKINAH;Privada;A2;Inicial - Jardín;Inicial;39;17;22;0;0;JUNIN;HUANCAYO;CHILCA;UGEL HUANCAYO;Urbana
2024;1415165-0;1415165;0;30110 SAN MARTIN DE PORRES;Pública de gestión directa;A2;Inicial - Jardín;Inicial;28;11;17;0;0;JUNIN;CHUPACA;CHUPACA;UGEL CHUPACA;Rural
2024;1415173-0;1415173;0;SOL Y FE;Privada;A2;Inicial - Jardín;Inicial;85;42;43;0;0;JUNIN;CHUPACA;CHUPACA;UGEL CHUPACA;Urbana
2024;1417450-0;1417450;0;JESUS REDENTOR DE BELEN;Privada;B0;Primaria;Primaria;31;14;17;0;0;JUNIN;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Urbana
2024;1417807-0;1417807;0;NUEVA ESPERANZA;Pública de gestión directa;F0;Secundaria;Secundaria;99;42;57;0;19;JUNIN;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Rural
2024;1417815-0;1417815;0;LOS GENIOS;Privada;A2;Inicial - Jardín;Inicial;17;6;11;0;0;JUNIN;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Urbana
